id,price,year,manufacturer,model,condition,odometer,title_status,vin,type,lat,long
15236,1218,81,7,2505,0,996,0,1932,0,229,1692
15235,1662,80,32,17,0,4916,0,515,0,229,1692
15232,424,60,0,669,0,4779,0,7750,0,586,1561
15231,1107,76,25,3378,0,3912,0,7636,3,586,1561
15230,1213,76,25,1436,0,3414,0,7707,10,586,1561
15229,576,75,15,2694,0,6482,0,5221,6,341,1706
15228,1144,75,22,1588,4,2483,0,2,10,786,1529
15226,332,71,12,1640,1,7000,0,2,1,243,1713
15224,258,77,29,3160,1,5974,0,2,10,243,1713
15222,535,76,13,3607,1,6329,0,2,1,243,1713
15201,507,78,11,382,0,4779,0,2,0,385,1685
15220,647,61,37,2386,0,4779,0,2,0,231,1746
15216,1194,78,7,998,1,3272,0,3649,4,323,1705
15214,1636,77,7,198,0,4779,0,2,9,385,1685
15213,915,78,6,1326,1,3636,0,1991,10,323,1705
15210,456,77,15,1123,1,7410,1,2,4,768,1479
15209,199,67,7,2508,1,5801,0,1855,10,263,1663
15208,578,71,12,1486,1,6417,0,1608,10,263,1663
